function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/home/jiajli/apps/IRON/iron/common/compilation.py:new:62,3822,2.656437514,0.000695039,0.000764811,0.000297450,0.015895705,0.000354698
/usr/lib/python3.12/base64.py:b64decode:88,128000,2.579353023,0.000020151,0.000019707,0.000018916,0.000250322,0.000002420
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/transformer.py:forward:173,16,2.544662954,0.159041435,0.159038099,0.150183979,0.171769546,0.005611189
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/runtime/dmatask.py:resolve:73,2195,2.539383500,0.001156895,0.001145479,0.001102568,0.002842196,0.000071334
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/feed_forward.py:__init__:145,16,2.458851211,0.153678201,0.149200605,0.147281779,0.179992973,0.010040455
/home/jiajli/apps/IRON/iron/common/aie_device_manager.py:get_kernel_handle:41,1128,2.444917240,0.002167480,0.001985857,0.001913205,0.128656441,0.003785193
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/utils/hostruntime/xrtruntime/hostruntime.py:load:595,1128,2.412117730,0.002138402,0.001957414,0.001886105,0.128613119,0.003784465
/home/jiajli/apps/IRON/iron/operators/mha/design.py:batched_matmul_pv:517,8,2.399913958,0.299989245,0.299870570,0.295110760,0.307347190,0.003978457
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/aiex.py:shim_dma_single_bd_task:299,2195,2.328789565,0.001060952,0.001050370,0.001011035,0.002734994,0.000068822
/usr/lib/python3.12/pathlib.py:__hash__:529,13931,2.324037758,0.000166825,0.000159551,0.000128853,0.010163002,0.000089632
/home/jiajli/apps/IRON/iron/common/aie_base.py:run_runlist:225,194,2.323775329,0.011978223,0.003175845,0.001049738,0.243569582,0.023883499
/home/jiajli/apps/IRON/iron/common/compilation.py:set_path:87,4401,2.242004046,0.000509431,0.000596494,0.000275670,0.001628098,0.000150506
/home/jiajli/apps/IRON/iron/operators/swiglu_prefill/op.py:set_up_runtime:210,16,2.234295640,0.139643477,0.140430619,0.131806416,0.146278318,0.004096743
/usr/lib/python3.12/pathlib.py:_load_parts:418,38922,2.188710985,0.000056233,0.000046317,0.000035497,0.014984057,0.000093114
/home/jiajli/apps/IRON/iron/common/compilation.py:dfs_visit:624,3544,2.183634258,0.000616150,0.000288403,0.000069461,0.010023690,0.001056896
/home/jiajli/apps/IRON/iron/common/compilation.py:is_available:101,10046,2.150347261,0.000214050,0.000063539,0.000055064,0.004234260,0.000327068
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/placers.py:make_placement:149,33,2.131889707,0.064602718,0.062102050,0.012493974,0.197248701,0.034464579
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tensortiler2d.py:step_tiler:250,92,1.906510443,0.020722940,0.002589415,0.002513386,0.507489212,0.075121992
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tas.py:__init__:108,92,1.863017719,0.020250193,0.002135730,0.002073608,0.506959835,0.075101104
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/aie.py:__setitem__:388,144,1.828974105,0.012701209,0.012676784,0.012220800,0.015018813,0.000285193
/home/jiajli/apps/IRON/iron/operators/silu/design.py:my_silu:122,4,1.827655678,0.456913920,0.455345845,0.452631254,0.464332735,0.005273373
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tensortiler2d.py:group_tiler:95,85,1.793420347,0.021099063,0.002600130,0.002527012,0.507506876,0.078179454
/usr/lib/python3.12/copy.py:_deepcopy_list:197,14946,1.744390664,0.000116713,0.000115117,0.000059252,0.000715639,0.000014401
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/utils.py:validate_and_clean_sizes_strides:105,5172,1.631103288,0.000315372,0.000309974,0.000296909,0.001056601,0.000032913
